CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
16-08-1163-41,,ALTA VERAPAZ,SENAHU,CPPB ANEXO A EPRM,"SANTA CRUZ, FINCA MOCCA",,,,PREPRIMARIA BILINGUE,PRIVADO,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1166-41,,ALTA VERAPAZ,SENAHU,CPPB ANEXO A EPRM,FINCA LOS ALPEZ,,,,PREPRIMARIA BILINGUE,PRIVADO,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1167-41,,ALTA VERAPAZ,SENAHU,CPPB ANEXO A EPRM,LUCHO ANEXO A FINCA LOS ALPES,,,,PREPRIMARIA BILINGUE,PRIVADO,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1168-41,,ALTA VERAPAZ,SENAHU,CPPB ANEXO A EPRM,FINCA QUICHEJA,,,,PREPRIMARIA BILINGUE,PRIVADO,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1169-41,,ALTA VERAPAZ,SENAHU,CPPB ANEXO A EPRM,FINCA LOS NARANJALES,,,,PREPRIMARIA BILINGUE,PRIVADO,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1172-43,,ALTA VERAPAZ,SENAHU,EPRM,FINCA LOS ALPES,,,,PRIMARIA,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1173-43,,ALTA VERAPAZ,SENAHU,EPRM 'LU CH'O',ANEXO A FINCA LOS ALPES,,,,PRIMARIA,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1188-43,24-021,ALTA VERAPAZ,SENAHU,EDAB,COMUNIDAD SILLAB VOLCAN,,DOMINGO BOTZOC MAAS,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1190-43,24-021,ALTA VERAPAZ,SENAHU,EDAB,COMUNIDAD NUEVO CHAPULIN,,DOMINGO BOTZOC MAAS,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1223-45,16-040,ALTA VERAPAZ,SENAHU,INSTITUTO DE EDUCACION BASICA POR COOPERATIVA DE ENSEÑANZA,CASERIO COOPERATIVA ACTELÁ CENTRO,,DULLIER CLEMENTE BOL BAC,,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1224-45,16-040,ALTA VERAPAZ,SENAHU,IEBC INSTITUTO DE EDUCACIÓN BÁSICA POR COOPERATIVA DE ENSEÑANZA,ALDEA SANTA ROSARIA,45447364,DULLIER CLEMENTE BOL BAC,,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1225-45,16-042,ALTA VERAPAZ,SENAHU,INSTITUTO DE EDUCACION BASICA POR COOPERATIVA DE ENSEÑANZA,ALDEA SEMARAC,46452804,JORGE ERWIN CUCUL QUIB,MARCOS OXOM XOL,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1251-41,16-013,ALTA VERAPAZ,SENAHU,COPB ANEXO A EORM,COMUNIDAD SAN MIGUEL MOCCA,,OSCAR ANIBAL GARCIA HUMBLERS,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1321-43,16-013,ALTA VERAPAZ,SENAHU,EDAB,COMUNIDAD CENTRO LOS ALPES,,OSCAR ANIBAL GARCIA HUMBLERS,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1322-43,24-021,ALTA VERAPAZ,SENAHU,EDAB,CASERIO LUCHO ALPES,,DOMINGO BOTZOC MAAS,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1359-45,16-041,ALTA VERAPAZ,SENAHU,INEB TELESECUNDARIA,CASERÍO LOS LUCHADORES SAN ESTEBAN,,ABNER DAVID CHIQUN TURCIOS,JUAN CUC CHOLOM,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1418-43,16-015,ALTA VERAPAZ,SENAHU,EORM,COMUNIDAD CHICHILA,,OSCAR RENE VENTURA ZAC,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1419-43,16-015,ALTA VERAPAZ,SENAHU,EORM,CASERIO SEPALAM,,OSCAR RENE VENTURA ZAC,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1423-43,16-015,ALTA VERAPAZ,SENAHU,EORM,CASERIO SEOCOB CHULAC,,OSCAR RENE VENTURA ZAC,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1424-43,16-015,ALTA VERAPAZ,SENAHU,EORM,COMUNIDAD KA CK IPEC,,OSCAR RENE VENTURA ZAC,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1507-43,16-013,ALTA VERAPAZ,SENAHU,EORM,COMUNIDAD SAN PABLO SERITQUICHE,,OSCAR ANIBAL GARCIA HUMBLERS,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1508-43,16-041,ALTA VERAPAZ,SENAHU,EORM,CASERIO NUEVO PALIN,57610846,ABNER DAVID CHIQUN TURCIOS,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1509-41,16-015,ALTA VERAPAZ,SENAHU,COPB ANEXO A EORM,COMUNIDAD SAN PABLO SERITQUICHE,,OSCAR RENE VENTURA ZAC,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1510-41,16-013,ALTA VERAPAZ,SENAHU,COPB ANEXO A EORM,COMUNIDAD NUEVO PALIN,,OSCAR ANIBAL GARCIA HUMBLERS,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1531-45,16-041,ALTA VERAPAZ,SENAHU,INEB DE TELESECUNDARIA,COMUNIDAD LA MONTAÑESA,,ABNER DAVID CHIQUN TURCIOS,,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1551-41,,ALTA VERAPAZ,SENAHU,COPB ANEXO A EORM,CASERIO SECARECHE,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1552-41,16-013,ALTA VERAPAZ,SENAHU,COPB ANEXO A EORM,COOPERATIVA SECUACHIL,,OSCAR ANIBAL GARCIA HUMBLERS,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
