CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
15-01-0042-43,15-003,BAJA VERAPAZ,SALAMA,EORM,ALDEA IXCAYAN,50063958,WILMER OMAR FRANCISCO FERNANDEZ TUJAB,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0043-43,15-005,BAJA VERAPAZ,SALAMA,EORM,ALDEA LLANO LARGO,42357514,MARVIN ESTUARDO REYES GUZMAN,IRMA LETICIA PÉREZ FRANCO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0044-43,15-003,BAJA VERAPAZ,SALAMA,EORM,ALDEA LAS TROJAS,79400824,WILMER OMAR FRANCISCO FERNANDEZ TUJAB,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0045-43,15-005,BAJA VERAPAZ,SALAMA,EORM,ALDEA LA CEBADILLA,59869098,MARVIN ESTUARDO REYES GUZMAN,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0046-43,15-003,BAJA VERAPAZ,SALAMA,EORM,ALDEA EL MATILISGUATE,30806674,WILMER OMAR FRANCISCO FERNANDEZ TUJAB,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0047-44,15-002,BAJA VERAPAZ,SALAMA,EOPA,BARRIO EL CENTRO,,MIGUEL ANGEL ATZIJ PICON,,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0048-45,15-001,BAJA VERAPAZ,SALAMA,INSTITUTO NACIONAL DE EDUCACION BASICA CON ORIENTACION OCUPACIONAL,5A. AVE. 4-74 ZONA 1 BARRIO EL CENTRO,79401926,EDGAR LEONEL RAMIREZ GONZALEZ,MARVIN REINALDO SAMAYOA MOYA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0049-45,15-001,BAJA VERAPAZ,SALAMA,IEBC 'LAS PIEDRECITAS',"DIAGONAL 4, 12-45 ZONA 5",79545080,EDGAR LEONEL RAMIREZ GONZALEZ,,BASICO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0050-45,15-001,BAJA VERAPAZ,SALAMA,INEB,13 AVE. 7-41 ZONA 2 BARRIO HACIENDA DE LA VIRGEN,79400455,EDGAR LEONEL RAMIREZ GONZALEZ,,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0050-46,15-001,BAJA VERAPAZ,SALAMA,ESCUELA NORMAL RURAL NO.4 DR. ELIZARDO URIZAR LEAL,13 AVENIDA 7-41 ZONA 2 BARRIO HACIENDA DE LA VIRGEN,79400455,EDGAR LEONEL RAMIREZ GONZALEZ,ELGI WALTER BOTEO GARCÍA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0051-45,15-026,BAJA VERAPAZ,SALAMA,COLEGIO PARTICULAR MIXTO 'TEZULUTLAN',"DIAGONAL 4, 1-24 ZONA 2",79400182,ELIECER ARIEL ISMALEJ MORALES,ELIA NÍVEA LÓPEZ DE SAGASTUME,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0051-46,15-026,BAJA VERAPAZ,SALAMA,COLEGIO PARTICULAR MIXTO TEZULUTLAN,"DIAGONAL 4, 1-24 ZONA 2",79400182,ELIECER ARIEL ISMALEJ MORALES,ELIA NIVEA LÓPEZ DE SAGASTUME,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0052-45,15-001,BAJA VERAPAZ,SALAMA,LICEO MIXTO 'SAN MATEO',9A. AVENIDA 6-67 ZONA 1,79401926,EDGAR LEONEL RAMIREZ GONZALEZ,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0052-46,15-026,BAJA VERAPAZ,SALAMA,LICEO MIXTO 'SAN MATEO',9A. AVENIDA 6-67 ZONA 1,79401926,ELIECER ARIEL ISMALEJ MORALES,CARMEN ALICIA HERNANDEZ DE BARRIENTOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0054-42,15-003,BAJA VERAPAZ,SALAMA,EODP ANEXA A EORM,ALDEA PAYAQUE,,WILMER OMAR FRANCISCO FERNANDEZ TUJAB,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0055-42,15-004,BAJA VERAPAZ,SALAMA,EODP,ALDEA SAN JULIAN CHUACUS,,AMNER ESAU FERNANDEZ LOPEZ,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0056-42,15-004,BAJA VERAPAZ,SALAMA,EODP,ALDEA SANTA INÉS CHIVAC II,51910007,AMNER ESAU FERNANDEZ LOPEZ,PATRICIA NOEMÍ HERNÁNDEZ TISTA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0057-42,15-005,BAJA VERAPAZ,SALAMA,EODP ANEXA A EORM,"CASERÍO EL ESTORAQUE, ALDEA LA PAZ NO.2",57605208,MARVIN ESTUARDO REYES GUZMAN,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0058-42,15-002,BAJA VERAPAZ,SALAMA,EODP ANEXA A EOUM,"13 AVENIDA ""A"" 5-96, ZONA 5 BARRIO SANTA ELENA",41409000,MIGUEL ANGEL ATZIJ PICON,MIRNA YANETHE LÓPEZ VELÁSQUEZ DE VALLE,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0059-42,15-003,BAJA VERAPAZ,SALAMA,EODP ANEXA A EORM,CASERIO LA GARCIA ALDEA LAS LIMAS,,WILMER OMAR FRANCISCO FERNANDEZ TUJAB,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0060-43,15-004,BAJA VERAPAZ,SALAMA,EORM,ALDEA SAN JULIAN CHUACUS,,AMNER ESAU FERNANDEZ LOPEZ,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0061-43,15-003,BAJA VERAPAZ,SALAMA,EORM,ALDEA PAYAQUE,,WILMER OMAR FRANCISCO FERNANDEZ TUJAB,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0062-43,15-004,BAJA VERAPAZ,SALAMA,EORM,ALDEA CANDELARIA LAS PALMAS,50085842,AMNER ESAU FERNANDEZ LOPEZ,JUAN CARLOS CORONADO GARCÍA,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
